,bak,en
1582,"Эшегеҙҙә баҫым яһарға тырышһалар, быға фәлсәфәүи күҙлектән ҡарағыҙ.","If they try to put pressure (on you) at work, look at this from a philosophical point of view."
1583,Сәхнә кейеме.,Stage costume.
1584,"Шаршау асылмаҫ элек сәхнәгә Актёр сыға, ҡулында телефон.","Before the curtain opens, the Actor steps onto stage, (with) a telephone in his hand."
1585,"Сәнғәт кешеләре, йырсылар сәхнәнән киткәс тә ғүмер буйына уны һағынып йәшәй, тиҙәр .","They say that people of art and singers, after they leave the stage, miss it for the rest of their lives."
1586,Гөлдәр хуш еҫ тарата.,Flowers spread a pleasant odor.
1587,Мәңгелек мөхәббәт.,Eternal love.
1588,Быныһы минең өсөн мәңгелек сер булып ҡалды.,This remained an eternal mystery to me.
1589,Мәңгелек двигатель.,Perpetual motion machine.
1590,Ҡырымда барыһының да телендә – “референдум” һүҙе.,"In Crimea, the word ""referendum"" is on everybodys tongue."
1591,Ғәрәп ярымутрауы.,The Arabian peninsula.
1592,Йыһан туристы.,A space tourist.
1593,"Яңғыраған һорауҙар бик тә урынлы, тик уларға ябай ғына яуап биреп булмаҫ.","The voiced questions are very pertinent; however, it will be difficult to give simple answers to them."
1594,"Яңғыраған һорауҙар бик тә урынлы, тик уларға ябай ғына яуап биреп булмаҫ.","The voiced questions are very pertinent; however, it will be difficult to give simple answers to them."
1595,"Былар ябай сәскә түгел, дарыу үләндәре.","These are not ordinary flowers, (but) medicinal herbs."
1596,Яңы хөкүмәткә ябай ауыл ҡатындарынан наказ – ирҙәребеҙҙе Себерҙән ҡайтарығыҙ!,A mandate for the new government from ordinary rural women: bring our husbands back home from Siberia! (i.e. create jobs at home.)
1597,Гәрәбә эсендә һаҡланып ҡалған бороңғо бөжәктәрҙе өйрәнеү.,The study of ancient insects preserved within amber.
1598,"Күпме генә әҙерләнһәң дә, имтихандан ҡурҡыта, әлбиттә.","Naturally, (you are) afraid of an (upcoming) exam, no matter how much you prepare for it."
1599,"Шәхси эшҡыуарҙар, әлбиттә, үҙ мәнфәғәттәрен алға һөрә.","Private entrepreneurs, naturally, promote their own interests."
1600,"Күмер һатыусыһының бите ҡара, күңеле аҡ.",The coal seller has a black face (but) a white (i.e. pure) soul.
1601,Бүлектәрҙе сысҡандың уң төймәһе менән башлыҡтарына баҫып төҙәт.,Edit sections by pressing the right button of the mouse on their headers. (=Right-click  on a sections header to edit it).
1602,Йылғаның тарихи атамаһын тергеҙәйек.,Lets restore the rivers historical name.
1603,Был атамалар тик белгестәргә генә аңлайышлы.,These terms are understandable only to specialists.
1604,"""Тереклек"" атамаһы төрлө өлкәләрҙә төрлөсә билдәләнә, ҡайһы осраҡтарҙа аныҡ билдәләмә биреүһеҙ ҡулланыла.","The term ""life"" is defined in varying ways in different areas (of knowledge); in some cases, it is used without giving it an explicit definition."
1605,Ер-һыу атамаһы.,"Toponym, place name."
1606,Халыҡ атамаһы.,Ethnonym.
1607,Һәр кеше солоғона үҙенең тамғаһын һалған.,Every person put his/her mark of ownership on his/her log hive.
1608,Ҡул тирмәне.,Hand mill.
1609,Ҡул бысҡыһы.,Hand saw.
1611,Элек ҡулыңды йыу.,First wash your hands.
1612,"Шаршау асылмаҫ элек сәхнәгә Актёр сыға, ҡулында телефон.","Before the curtain opens, the Actor goes on stage, (with) a telephone in his hand."
1613,Хаттың тышында адресын күреү менән атайымдың ҡулын таныным.,"As soon as I saw the address on the envelope, I recognized my fathers handwriting."
1614,Атайыңа сәләм әйт!,Say hello to your father!
1615,Атаһы эргәһендә бала бер нимәнән дә ҡурҡмай.,A child is not afraid of anything (when) next to his/her father.
1616,Хаттың тышында адресын күреү менән атайымдың ҡулын таныным.,"As soon as I saw the address on the envelope, I recognized my fathers handwriting."
1617,Үҫмерҙәр өсөн гәзит.,A newspaper for teenagers.
1618,Иң ҡурҡынысы — үҫмер балаңдың кеҫәһендә шприц табыу.,The most frightening (thing) is to find a syringe in your teenager childs pocket.
1619,Мәргәндең һаҙағында ике бөртөк кенə уҡ ҡалған ти.,"In the sharp-shooters quiver, there remained only two arrows."
1620,Ҡыҫҡа еңле күлдәк.,A shirt with short sleeves.
1621,"Фажиғәне күреүселәр янғын һүндереүселәргә шылтырата, тик улар килеп етеүгә фуранан тимер һөлдә генә ҡалған була.","The witnesses of the accident called the firemen, but when those reached (the place), there was only an iron framework left from the van truck."
1622,"Ҡәнәғәт түгелһең икән — үҙ һүҙеңде әйт, тәңҡитлә, фекер алыш.","If you are not content — (then) give your comment, criticize, exchange opinions."
1623,"Баҡтиһәң, кеше беҙ күреп белгән материаль тән генә түгел икән.","As it emerges, a human is not only the material body that we see and know."
1624,Был һүҙем үләң түгел — бер нәсихәт.,"This speech of mine is not a song, but an edification."
1625,"Былар ябай сәскә түгел, дарыу үләндәре.","these are not simple flowers, but medicinal herbs."
1626," Кешене атай-әсәй генә түгел, мөхит тә тәрбиәләй.","It not only the parents, but also the environment that raises a person."
1627,"Тап шундай берәҙәк эттәр ваҡ мал һәм ҡош-ҡорт өсөн генә түгел, кеше өсөн дә хәүефле.","Exactly this type of stray dogs is dangerous not only to small cattle and poultry, but also to humans."
1628,"Бөгөнгө көндә ҡул сәғәте ваҡытты ғына түгел, кешенең абруйын да күрһәтеп тора.","These days, a watch not only shows the time, but also the persons social status."
1629,"Беҙҙең илебеҙҙә Интернет түгел, гәзит барып етмәгән, почтальон аяғы баҫмаған мөйөштәр бар һаман.","There are still locations in our country where newspapers do not reach, (where) postmans feet hasnt touched yet, let alone the Internet."
1630,"Шартлау тулҡынына биш ҡатлы йорттарҙа быялалар ватылыу ғына түгел, хатта эске металл ишектәр ҙә емерелгән.","(As a result of) the air blast wave, not only did window panes shatter in the 5-storeyed buildings, but even the internal metal doors were broken."
1631,"Көҙ көндәрен йылы юрғанға уранып, эҫе ҡәһүә ғына эсеп ултырырһың.","In the autumn, you will just sit rolling yourself in a warm blanket and drinking hot coffee."
1632,Өйөбөҙгә һыуыҡ һыу ғына ингән.,We only have cold water (service) in our house.
1633,Ял көндәре төбәктә һыуыҡ буласаҡ.,The weekend will be cold in the region.
1634,Был аҙнала төбәктә көндәр һалҡын торасаҡ.,"This week, the weather will stay cool in the region."
1635,"Һиҙәм: бына, маңлайымдан һыйпай йәп-йәш әжәлемдең һалҡын усы.","I feel: here, the cool palm of my very young death strokes my forehead.|q=[[:w:Mustai Karim|Mustai Karim]]"
1636,"Тышта ел өрә, ҡарҙы һеперә, // Мин өйҙә торам һалҡынға күрә.","Outside, the wind is blowing (and) sweeping the snow, I am staying at home because of the cool weather.|q=[[:w:Mustai Karim|Mustai Karim]]"
1637,Йылы көйөнсә көнөнә өс-биш тапҡыр эсегеҙ.,Drink (it) warm three to five times a day.
1638,"Көҙ көндәрен йылы юрғанға уранып, эҫе ҡәһүә ғына эсеп ултырырһың.","In the autumn, you will just sit rolling yourself in a warm blanket and drinking hot coffee."
1639,Һирәк ҡунаҡ.,A rare guest.
1640,Һирәк осраҡ.,A rare case.
1641,Һирәк китаптар һәм ҡулъяҙмалар бүлеге.,The section of rare books and manuscripts (in a library).
1642,Һирәк урман.,Sparse / thin forest.
1643,Хәҙер думбыра халыҡ көнкүрешендә һирәк осрай - уны мандолина алмаштырған.,"These days, dumbyra rarely occurs in the folks everyday life - it has been replaced by mandolina."
1644,"Беҙ, уҡытыусылар, йыш ҡына уҡыусыларыбыҙға: “Көндәлек — һеҙҙең йөҙөгөҙ”, тип әйтергә яратабыҙ.|tr=Beð, uqïtïwsïlar, yïš qïna uqïıwsïlarïbïðğa: ""Köndälek - heððeñ yöðögöð"", tip äytergä yaratabïð.","We, teachers, often like to tell our students: ""a students report card is his/her face""."
1645,Ат — кешенең тоғро юлдашы.,The horse is mans faithful companion.
1646,"Ысынбарлыҡҡа тап килгән, булып торған хәлдәрҙе оператив сағылдырған Интернет-сығанаҡтарға ихтыяж көндән-көн артасаҡ.","Day after day, the need will grow for Internet sources that correspond to reality (and) promptly represent occurring events."
1647,"Ысынбарлыҡтың бөтөн осраҡлы айырымлыҡтарын байҡап үтеү мөмкин булмағанлыҡтан, философтар үҙ иғтибарын төп сәбәптәргә йүнәлтә, ысынбарлыҡтың иң ғөмүми ҡанундарын өйрәнә.","Since it is impossible to review all incidental othernesses of (=existing in ) reality, philosophers direct their attention to fundamental reasons, (and) study the most general laws of reality."
1648,Сепрәк ҡурсаҡ.,Rag doll.
1649,Ҡурсаҡ театры.,Puppet theater.
1650,"Ҡоҙғон ҡайһы тирәлә ҡысҡырһа, шунда мәйет була.","Where a raven caws, there will be a dead man."
1651,"Көҙ көндәрен йылы юрғанға уранып, эҫе ҡәһүә ғына эсеп ултырырһың.","In the autumn days, you will sit rolling yourself in a warm blanket and drinking hot coffee."
1655,Ижад минең өсөн — күңел талабы ул.,Creative work is for me a necessity of (my) soul.
1656,Йола буйынса еҙнә булып килгән егет һәр балдыҙына бәке бирә.,"By tradition, the bridegroom gives a foldable knife to each of his future brothers-in-law."
1657,Ә һеҙ ни өсөн үҙегеҙҙең йолаларығыҙ хаҡына Алла әмерен боҙаһығыҙ? ― тип ҡаршы төштө Ғайса.,"Jesus replied, “And why do you break the command of God for the sake of your tradition?|q=Matthew 15:3"
1658,"Яхъяның һүҙҙәрен ишетеп, Ғайса артынан эйәргән икәүҙең береһе Симон Петрҙың ҡустыһы Андрей ине.","One of the two who had heard Johns words and  followed Jesus, was Andrew, Simon Peter’s younger brother.|q=John 1:40"
1659,Яҙғы ташҡында йылғаға яҡын йорттар зыян күрә.,"In the spring flood, the houses (located) close to the river sustain damage."
1660,Ҡатын-ҡыҙҙар өсөн машина йөрөтә белеү — заман талабы.,For women to be able to drive a car is the modern time’s necessity (=part of modern life).
1661,Ижад минең өсөн — күңел талабы ул.,Creative work is for me a necessity of (my) soul (=what my soul demands).
1662,"Егеттәр, һаҡланығыҙ наҙан дуҫтан ― наҙан дуҫ бер айҙаң һуң булыр дошман.","Guys, beware of a ignorant friend ― in a months time, an ignorant friend will become an enemy.|q=Aqmulla"
1663,Сепрәк ҡурсаҡ.,A rag doll.
1664,Мәҡәләләге мәғлүмәт абруйлы сығанаҡтар менән раҫланырға тейеш.,The information in the article must be proved with trustworthy sources.
1665,"Урта быуат яҙма сығанаҡтарына таянып, ғалим урындағы суфыйсылыҡ традицияһын өйрәнә.","Drawing on medieval written sources, the scholar explores the local tradition of Sufism."
1666,"Ысынбарлыҡҡа тап килгән, булып торған хәлдәрҙе оператив сағылдырған Интернет-сығанаҡтарға ихтыяж көндән-көн артасаҡ.","Day after day, the need will grow for online sources that correspond to reality (and) promptly represent occurring events."
1667,"Минең әсәм – Айһылыу, // Атам Шүлгән булғандыр, // Шүлгән һиңә туғандыр.","My mother is Ayhïlïw, my father was Shulgan, Shulgan is your relative."
1668,Мөхәммәт өммәтенең бер рәҡәғәт намаҙҙарының сауабы башҡа өммәттәрҙең мең рәҡәғәт сауабына тиңләшер.,The merit of (performing) one sequence of prayer by a follower of Muhammad (i.e. by a Muslim) is equal to the merit of (performing) a thousand of sequences of (=by) other followers (=the followers of of other religious traditions).
1669,Киң итәк.,A loose lower hem (of a dress).
1670,"Көтөү көнө буйы тау итәгендә йөрөнө, кисен ауылға төштө.","The herd spent the whole day on a mountain foot, and in the evening it went down to the village."
1671,Минең күңелем тыуған Уралымда ҡалды: муйыл сәскә атҡан туғайҙарҙы төшөмдә күреп йыш ҡына уянам.,My soul has remained in my native Urals: I often wake up dreaming of river meadows with bird cherries abloom.
1672,Көрәш көслө рух тәрбиәләй.,Struggle fosters a strong spirit.
1673,Һунар эте.,Hunting dog.
1674,Һунар мылтығы.,Hunting rifle.
1675,"Амур буйында алтын йыуыу башланғас, эвендарҙың көтөүлектәре һәм һунар иткән урындары юҡҡа сыға, балыҡ тотҡан йылғалар бысрана, һайыға һәм һаһый.","When washing for gold began on the banks of the Amur (river), the Evens pastures and hunting grounds degraded, the fishing (areas in) rivers got polluted, shallow and fetid."
1676,Һунарсы этһеҙ йөрөмәй.,A hunter wont go around without a dog.
1677,Бүрәнә күпер.,A bridge made of logs.
1678,Бүрәнәлә тоҡ менән һуғышыу — һабантуй уйыны.,Fighting with sacks on a wood log is a [[:w:Sabantuy|Sabantuy]] game.
1679,"Бураны күтәреп, башын япҡас, бүрәнә ярыҡтарына мүк тултыралар.","After the carcass of log house is completed (up to its intended height) and roofed, the slits between logs are filled with moss."
1680,"Төнө ҡырау төшөргә тора, ҡыяр түтәлен ябайыҡ.","Hoarfrost is going to drop at night, let us cover the cucumber bed."
1681,"Ҡыярҙы апрель аҙағында сәсәм, май аҙағында үҫентеләрҙе түтәлгә күсерәм.",I plant cucumbers at the end of April (and) transplant the seedlings to the garden bed at the end of May.
1682,Мысыр аҡһөйәктәре ысынлап та Сараның сибәрлеген фирғәүенгә еткерәләр.,"Egypts noblemen, indeed, inform the pharaoh about Sarahs beauty."
1683,Ялған аҡса.,Counterfeit money.
1684,Ялған хәбәр таратыу.,To spread fake news.
1685,Тимер юл станцияһы.,Railway station.
1686,Тимер юл фажиғәһе.,A railway accident.
1687,Тар тимер юлы.,Narrow-gauge railway/ railroad.
1688,Тауарҙарҙы тимер юлы менән ташыу.,To carry goods on railway/railroad (=by rail).
1689,Ул тимер юлында эшләй.,He works at the railways.
1690,Былтыр йәй тимер юлында күп мал тапалған икән.,"(It appears that) Last years summer, a lot of cattle got knocked down (to death or serious injury) at the railway."
1691,"Ниһәйәт, текә яланғас бер ҡая юлымды ҡапланы, һәм туҡтарға мәжбүр булдым.","At last, a steep bald rock barred my way, and (I) had to stop."
1692,"Батшаның шиктәре нығына бара, ул Дауытты хатта ике тапҡыр үлтерергә тырыша.","The kings (Sauls) suspicions grow stronger, he even attempts twice to kill David."
1693,"Был – кимәктәргә яҡын төрк ҡәбиләһе, хатта кимәктәрҙең бер тармағы итеп күрһәтелә.","This is a Turkic tribe close to [[:w:Kimek tribe|Kimaks]], (it is) even indicated as a branch of Kimaks."
1694,"Шартлау тулҡынына биш ҡатлы йорттарҙа быялалар ватылыу ғына түгел, хатта эске металл ишектәр ҙә емерелгән.","(As a result of) the air blast wave, not only did window panes shatter in the 5-storeyed buildings, (but) even the internal metal doors were broken."
1695,"Миграция ағымына күҙ һалһаҡ, иң күп кеше Урта Азиянан, айырыуса Үзбәкстандан килә.","If we look at the migration flow, most people come from Central Asia, especially from Uzbekistan."
1696,Сәнғәттәге реалистик ағым.,The realistic trend in art.
1697,"Күрше ағай менән беҙ аҙашбыҙ, шуға мине урамда бәләкәй Ғәли тип йөрөтәләр.","We are namesakes with the elder neighbor, so they call me ""the small Ğäli"" in the street."
1698,"Яхъяның һүҙҙәрен ишетеп, Ғайса артынан эйәргән икәүҙең береһе Симон Петрҙың ҡустыһы Андрей ине.","One of the two who had heard Johns words and  followed Jesus, was Andrew, Simon Peter’s younger brother.|q=John 1:40"
1699,"Күрше ағай менән беҙ аҙашбыҙ, шуға мине урамда бәләкәй Ғәли тип йөрөтәләр.","We are namesakes with the elder neighbor, so they call me ""the small Ğäli"" in the street."
1700,"Тәбиғәт миҙгеле кеүек, һәр ғүмер миҙгеленең дә үҙ һабағы, үҙ аҡылы, үҙ ҡыҙығы була.","Just like every season of the year (lit. of the nature), each period of life has its lesson (to learn), its moral (to draw), its interest."
1701,"Айрат үҙе кеүек тиҫтерҙәре менән урам ҡыҙырҙы, һыра һемерҙе, тәмәке тартты.","Ayrat, with his age-mates like himself, wandered around streets, swilled beer, smoked tobacco."
1702,"Күктәге кеүек, ерҙә лә Һинең ихтыярың ғәмәлгә ашһын.",Your will be done (lit. become reality) on earth as it is in heaven.
1703,"Сыйырсыҡ, турғай, сәпсек кеүек ваҡ ҡоштар баҡса ҡоротҡостарын бик әүҙем сүпләй.","Such small birds as starlings, sparrows, wagtails are very active in collecting garden pests."
1704,Яңы килгән Рәсәй президенты йәнә «ишкәксе ҡол» һымаҡ эшләй алыр микән?,"Will Russias newcoming president be able to work like a ""galley slave""?"
1705,Википедиялағы һымаҡ һәр кем үҙ өлөшөн индерә ала.,"Like in Wikipedia, everyone can contribute."
1706,Балсыҡ көрәккә йәбешә.,Clay sticks to the shovel.
1707,"Бөтә эштәр ҡул менән — кәйлә, лом, балға һәм көрәк менән — башҡарыла.","All jobs are done manually, with pickaxe, crowbar, hammer and shovel."
1708,Нәшриәт ғәйебе менән киткән етешһеҙлектәр өсөн редакция яуап бирмәй.,The editorial office is not responsible for the defects arising through the publishers fault.
1709,Баш мөхәррир.,The editor-in-chief.
1710,Ул ваҡытта Яхъя төрмәгә ябылмағайны әле.,"At that time, John was not yet put in prison.|q=John 3:24"
1711,"Яхъяның һүҙҙәрен ишетеп, Ғайса артынан эйәргән икәүҙең береһе Симон Петрҙың ҡустыһы Андрей ине.","One of the two who had heard Johns words and  followed Jesus, was Andrew, Simon Peter’s younger brother.|q=John 1:40"
1712,Ғүмерлек һөргөн.,A life-long exile.
1713,Һөргөндәге Тибет хөкүмәте.,The Tibetan government in exile.
1714,Ғүмерлек  һөргөн.,A life-long exile.
1715,"Һирәк хәл: булған өлгөгә оҡшатып яҙылған әҫәр тәүсығанағына ҡарағанда киңерәк, көслөрәк булып сыҡты.",A rare case: a piece of work written in imitation of a model turned out to be deeper and stronger than as compared to its original model.
1716,Балалар ата-әсәләренән өлгө ала.,Children take example from their parents.
1717,Халыҡҡа абруйлы кешеләрҙең өлгөһө кәрәк.,People need the example of reputable persons (=People need reputable persons who set an example).
1718,Балалар ата-әсәләренән өлгө ала.,Children take example from their parents.
1719,"Бәлки, минең менән килешмәүселәр булыр.","Perhaps, there will be those who disagree with me."
1720,"Кем белә, бәлки, башҡа сәбәбе лә барҙыр.","Who knows, there is perhaps another reason (for that)."
1721,Китапхана районда сыҡҡан гәзиттәрҙең барыһын да берешәр дана алдыра.,The library receives one copy of all newspapers published in the [[raion]].
1722,"Табаҡҡа биш дана йомортҡа һытығыҙ, ондо ҡушып болғағыҙ.","Crack five pieces of eggs into the bowl, add flour and stir."
1723,"Ҡоҙғон ҡайһы тирәлә ҡысҡырһа, шунда мәйет була.","Where a raven caws, there will be a dead man."
1724,Уртаҡ маҡсат берләштерә.,A shared goal unites (people).
1725,Уртаҡ үҙгәреүсәнде йәйә тышына сығарып күсереп яҙайыҡ.,Let us rewrite (the expression) by taking the common variable outside of the brackets.
1726,"Һомай ҡош тунын кейеп шундуҡ осоп килгән ти // Үле ятҡан Уралдың ауыҙынан үпкән, ти.","The bird [[:w:Umay|Umay]] donned her fur coat, immediately came flying, (and) kissed Ural, who was lying dead, on his mouth."
1727,Эш йәрминкәһе.,Job fair.
1728,Көҙгө йәрминкәгә саҡырабыҙ.,We invite (you) to the autumn fair.
1729,Бөйөк Ҡытай диуары.,The Great Wall of China.
1730,Бөйөк Ҡытай диуары.,The Great Wall of China.
1731,Бөйөк Ватан һуғышы.,The [[:w:Great Patriotic War (term)|Great Patriotic war]] (1941-45).
1732,Баҙарҙан ике тоҡ он һатып алдым.,I bought two sacks of flour at the marketplace.
1733,Бүрәнәлә тоҡ менән һуғышыу — һабантуй уйыны.,Fighting with sacks on a wood log is a [[:w:Sabantuy|Sabantuy]] game.
1734,Ҙур хәреф.,Block / capital / uppercase letter.
1735,Ике тәҙрәһе урамға ҡараған ҙур бүлмә.,A large room with two windows overlooking the street.
1736,Архипелагтар дингеҙҙә айырым йәки ҙур ҡоро ер массивы янында урынлаша ала.,Archipelagoes can be located separately in the sea or close to a large mass of dry land.
1737,"Йүкә балы тәмле, хуш еҫле, ҙур дауалау көсөнә эйә.","Linden honey is palatable, has a pleasant smell (and) great medicinal properties."
1738,"Йондоҙ һымаҡ атылып, аҡбуҙ толпар атлығып күктән килеп төшкән, ти.","Like a shooting star, a blue gray winged horse came down swiftly from the sky."
1739,Бер тиҫтә йомортҡа .,A set (box) of ten eggs
1740,Мостай Кәримдең әҫәрҙәре бер нисә тиҫтә телдәргә тәржемә ителгән.,[[:w:Mustai Karim|Mustai Karim]]s workы have been translated into several dozens of languages.
1741,Кешегә соҡор ҡаҙма — үҙең ауырһың.,"Do not dig a hole for another, (or) you yourself will fall (into it)."
1742,Аҡса берәмеге.,Monetary unit.
1743,Астрономик берәмек.,Astronomical unit.
1744,Ғалимдар хөрмәтенә аталған физик үлсәү берәмектәре.,The physical units of measurement named after scientists.
1745,Ғәскәри берәмек.,Military unit.
1746,Ғаилә - мөһим социаль берәмек һәм уны ҡанундар яҡлай.,The family is an important social entity and it is protected by laws.
1747,Ниндәй ҙә булһа тарихи ваҡиға йәки шәхес тураһындағы яҙма риүәйәт.,A written legend about some historical event or person.
1748,"Риүәйәт буйынса, батша 1707 йылда ҡалаға шәхсән нигеҙ һалған.","According to the legend, the czar in person laid foundation for the city in 1707."
1749,Бөркөттөң һорғолт ҡойроғо төбөндә арҡыры аҡ һыҙат күренә.,A white transverse stripe is seen at the bottom of the golden eagles gray tail.
1750,Агрессив ҡылыҡ ҡалыптары — таҡырбаштарға хас төп һыҙаттарҙың береһе.,Aggressive behavior patterns are one of the features characteristic of skinheads.
1751,Уларҙың барыһын да бер һыҙат берләштерә.,There is a feature common to them all.
1752,Ҡара һыҙат артта ҡалды; хәҙер бар донъя һеҙҙең тирәләй әйләнә.,"The black streak (=the period of bad luck) is over; now, the entire world revolves around you."
1753,Ҡаршы һыҙат.,The opposite lane .
1754,Иң уңдағы һыҙат автобус-троллейбустар өсөн генә тәғәйенләнгән.,The rightmost (=outside) lane is restricted to busses and trolleybusses.
1755,Агрессив ҡылыҡ ҡалыптары — таҡырбаштарға хас төп һыҙаттарҙың береһе.,Aggressive behavior patterns are one of the features characteristic of skinheads.
1756,Ҡорос ҡойоу ҡалыбы.,Steel casting mold.
1757,Итек ҡалыбы.,"Boot-tree, boot-last."
1758,Агрессив ҡылыҡ ҡалыптары — таҡырбаштарға хас төп һыҙаттарҙың береһе.,Aggressive behavior patterns are one of the features characteristic of skinheads.
1759,Ысын лидерға ниндәй сифаттар хас булырға тейеш?,What qualities must be inherent to a true leader?
1760,Агрессив ҡылыҡ ҡалыптары — таҡырбаштарға хас төп һыҙаттарҙың береһе.,Aggressive behavior patterns are one of the main features characteristic of skinheads.
1761,"Беҙҙең илебеҙҙә Интернет түгел, гәзит барып етмәгән, почтальон аяғы баҫмаған мөйөштәр бар һаман.","There are still locations in our country where not only the Internet, but (even) newspapers do not reach, (where) postmans feet hasnt still touched."
1762,Ахырызамандан ҡасып ер аҫтына киткән Пенза сектанттарының бер өлөшө һаман да сыҡмаған.,Part of the Penza sect followers who have gone underground fleeing from the end of the world have still not come out.
1763,Мамыҡ майы.,Cottonseed oil.
1764,"Мысырҙа башлыса дөгө, мамыҡ, бойҙай һәм йәшелсә-емештәр үҫтерәләр.","In Egypt, they mainly grow rice, cotton, wheat and vegetables."
1765,Өйрәк мамығы.,Duck down.
1766,Тирәк мамығы.,Poplar down.
1767,Шайтан ут менән төтөндән яралған.,The shaitan is created from fire and smoke.
1768,"Һеҙҙең «эйе» тигән һүҙегеҙ – «эйе», «юҡ» тигәнегеҙ «юҡ» булһын. Шунан артығы – Иблистән.","Let your ""yes"" be ""yes"", ""no"" be ""no"". Anything more than this (comes) from the devil.|q=Matthew 5:37.|ref=https://www.bible.com/bible/1929/MAT.5.37.BSKNT14"
1769,Сей утын насар яна.,Damp firewood wont burn well.
1770,Ҡышҡылыҡ утынды малайҙарым өс көндә ярып бөтөрҙө.,My sons chopped the a winters stock of firewood within three days time.
1771,"Утын күп кәрәкмәй, өс-дүрт ағас йыҡһаң етеп торор.","(We) dont need much firewood, it will suffice if you chop down three (or) four trees."
1772,Шыршы башына ҡатырғанан ҡырҡып ҡыҙыл йондоҙ ҡуйҙыҡ.,"At the top of the Christmas tree, we put a red star cut from cardboard."
1773,Һуңғы йылдарҙа балалар өсөн ҡатырға битле китаптар ҙа популяр булып китте.,"In the recent years, books for children with cardboard pages have also become popular."
1774,"Ғөмүмән, бындай фажиғәләр Америка Ҡушма Штаттарында, ҡорал ирекле рәүештә һатылған илдә, йыш ҡына булып тора.","Generally, such tragedies occur often in the United States of America, the country where weapons are sold freely."
1775,Хеҙмәт ҡоралы.,Instrument of labor.
1776,"Ғалимдар аңлатыуынса, баш бармаҡ айырым торһа, эш йә һуғыш ҡоралын ҡыҫып тотоу уңайлыраҡ.","As scientists explain, if the thumb is located separately, it is more convenient to tightly hold a tool of war or labor (i.e. a weapon of war or an instrument of labor)."
1777,Ун туғыҙынсы быуатта Уралда йәнә алтын биҙгәге башланды.,"In the nineteenth century, the gold rush started once again in the Urals."
1778,"Был һыуҙы эскән һәр кем йәнә һыуһар, ә Мин биргән һыуҙы эскән кеше бер ҡасан да һыуһамаҫ.","Everyone who drinks this water will again get thirsty, but the person who drinks the water I give will never get thirsty.|q=John 4:13-14."
1779,"Өс мөғжизә мине әсир алды: Ер, йәнә күк, йәнә ҡатын кеше.","Three miracles captivated me: the Earth, and the sky, and the woman."
1780,"Һәр нәҫел үҙенең шәжәрәһен ҡәҙерләп һаҡлаған, быуындан быуынға тапшырып килгән.","Each clan carefully preserved (records of) their family tree, passed it from generation to generation."
1781,"Баҡтиһәң, кеше беҙ күреп белгән материаль тән генә түгел икән.","As it emerges, a human is not only the material body that we see and know."
1782,Байрам кәйефе.,A festive mood.
1783,"Бал ашаған кешеләрҙең нервылар системаһының ҡуҙғыусанлығы кәмей, кәйефе, йоҡоһо яҡшыра.","In people who eat honey, the lability of the nervous system decreases, the mood and sleeping improves."
1784,"Ниһәйәт, офоҡ артынан Бохараның зәңгәр көмбәҙҙәре күренде.","At last, Bukharas light blue domes became visible from beyond the horizon."
1785,Продукция етештереү ѳсѳн сеймал Һарытауҙан килтерелә.,The raw material for manufactirung the products is delivered from Saratov.
1786,Таҡыр ялан.,Bare steppe/prairie.
1787,Тик бәхәстә генә хәҡиҡәт тыуа.,"Only in a dispute, truth is born."
1788,"Хәйер, Уралда мартты ла тулыһынса ҡыш айы тип әйтергә мөмкин әле.","However, March in the Urals can as well be called a winter month without reservation."
1789,"Биш-алты ғына йәшлек малай-ҡыҙҙар, машиналар араһында йөрөп, хәйер һорай.","Boys (and) girls of just five (or) six years old are asking for alms, walking around cars."
1790,"Әгәр ҙә хәйер бирәһең икән, хәйерең йәшерен рәүештә бирелһен өсөн, һул ҡулың уң ҡулыңдың ни эшләгәнен белмәһен.","If you are giving alms, for your alms to be given in secret manner, dont let your left hand know what your right hand is doing.|q=Matthew 6:3-6:4"
1791,Яңы йылда һәр бала мөғжизә көтә.,"At New Near, each child is waiting for a miracle."
1792,"Өс мөғжизә мине әсир алды: Ер, йәнә күк, йәнә ҡатын кеше.","Three miracles captivated me: the Earth, the sky, and the woman."
1793,"Атаңдың ғына улы булма, халҡыңдың да улы бул.","Dont be only your fathers son, but also be your peoples son."
1794,Халыҡ көсө — берлектә.,A peoples might is in (its) unity.
1795,Ата-бабалар иҫтәлеге — халыҡ үҙаңының айырып алғыһыҙ өлөшө.,The memory of ancestors is an indispensable part of the self-identity of an ethnic group.
1796,Хәҙер думбыра халыҡ көнкүрешендә һирәк осрай - уны мандолина алмаштырған.,"These days, dumbyra rarely occurs in the folks everyday life - it has been replaced by mandolina."
1797,Халыҡ һаны.,"Number of people, population."
1798,Ҡытай Халыҡ Республикаһы.,Peoples Republic of China.
1799,Демократия булмаған илдә хакимдар халыҡ тауышын ишетмәй.,"In a country where there is no democracy, the rulers do not hear the peoples voice."
1800,Халыҡ атамаһы.,Ethnonym.
1801,Үҙ яҙмаһы бар халыҡ.,A people that has its own literary tradition.
1802,"Урта быуат яҙма сығанаҡтарына таянып, ғалим урындағы суфыйсылыҡ традицияһын өйрәнә.","Drawing on medieval written sources, the scholar explores the local tradition of Sufism."
